operation,complexity,scale,num_sequences,threads,assignment,time_ms,speedup_vs_1t,efficiency,throughput_seqs_per_sec
reverse_complement,0.45,Medium,10000,2,default,0.608000,1.6092,0.8046,16447365.72
reverse_complement,0.45,Medium,10000,2,p_cores,0.621822,1.5734,0.7867,16081761.71
reverse_complement,0.45,Medium,10000,2,e_cores,0.916081,1.0680,0.5340,10916063.40
reverse_complement,0.45,Medium,10000,4,default,0.501967,1.9491,0.4873,19921642.20
reverse_complement,0.45,Medium,10000,4,p_cores,0.510348,1.9171,0.4793,19594472.79
reverse_complement,0.45,Medium,10000,4,e_cores,0.772252,1.2669,0.3167,12949139.28
reverse_complement,0.45,Medium,10000,8,default,0.508115,1.9255,0.2407,19680599.61
reverse_complement,0.45,Medium,10000,8,p_cores,0.466783,2.0960,0.2620,21423217.15
reverse_complement,0.45,Medium,10000,8,e_cores,0.809292,1.2089,0.1511,12356486.36
reverse_complement,0.45,Large,100000,1,default,12.063419,1.0000,1.0000,8289524.17
reverse_complement,0.45,Large,100000,2,default,7.198912,1.6757,0.8379,13890987.10
reverse_complement,0.45,Large,100000,2,p_cores,7.196262,1.6763,0.8382,13896102.41
reverse_complement,0.45,Large,100000,2,e_cores,16.381721,0.7364,0.3682,6104364.58
reverse_complement,0.45,Large,100000,4,default,5.287844,2.2813,0.5703,18911299.91
reverse_complement,0.45,Large,100000,4,p_cores,5.345223,2.2569,0.5642,18708294.24
reverse_complement,0.45,Large,100000,4,e_cores,10.609571,1.1370,0.2843,9425451.79
reverse_complement,0.45,Large,100000,8,default,8.196700,1.4717,0.1840,12200031.87
reverse_complement,0.45,Large,100000,8,p_cores,5.034145,2.3963,0.2995,19864347.62
reverse_complement,0.45,Large,100000,8,e_cores,12.508702,0.9644,0.1206,7994434.50
reverse_complement,0.45,VeryLarge,1000000,1,default,126.822415,1.0000,1.0000,7885041.48
reverse_complement,0.45,VeryLarge,1000000,2,default,79.151010,1.6023,0.8011,12634077.51
reverse_complement,0.45,VeryLarge,1000000,2,p_cores,79.163696,1.6020,0.8010,12632052.96
reverse_complement,0.45,VeryLarge,1000000,2,e_cores,155.435285,0.8159,0.4080,6433545.62
reverse_complement,0.45,VeryLarge,1000000,4,default,55.869899,2.2700,0.5675,17898725.75
reverse_complement,0.45,VeryLarge,1000000,4,p_cores,56.332027,2.2513,0.5628,17751890.93
reverse_complement,0.45,VeryLarge,1000000,4,e_cores,145.725739,0.8703,0.2176,6862205.70
reverse_complement,0.45,VeryLarge,1000000,8,default,48.245229,2.6287,0.3286,20727438.10
reverse_complement,0.45,VeryLarge,1000000,8,p_cores,49.899719,2.5415,0.3177,20040192.93
reverse_complement,0.45,VeryLarge,1000000,8,e_cores,132.913300,0.9542,0.1193,7523701.54
reverse_complement,0.45,Huge,10000000,1,default,1379.832758,1.0000,1.0000,7247255.10
reverse_complement,0.45,Huge,10000000,2,default,883.672990,1.5615,0.7807,11316403.37
reverse_complement,0.45,Huge,10000000,2,p_cores,883.387164,1.5620,0.7810,11320064.86
reverse_complement,0.45,Huge,10000000,2,e_cores,2113.055661,0.6530,0.3265,4732483.00
reverse_complement,0.45,Huge,10000000,4,default,666.863627,2.0691,0.5173,14995569.70
reverse_complement,0.45,Huge,10000000,4,p_cores,649.702202,2.1238,0.5309,15391667.10
reverse_complement,0.45,Huge,10000000,4,e_cores,1825.920726,0.7557,0.1889,5476689.03
reverse_complement,0.45,Huge,10000000,8,default,615.371252,2.2423,0.2803,16250352.88
reverse_complement,0.45,Huge,10000000,8,p_cores,631.509719,2.1850,0.2731,15835069.04
reverse_complement,0.45,Huge,10000000,8,e_cores,1865.018943,0.7398,0.0925,5361875.83
quality_aggregation,0.50,Tiny,100,1,default,0.017178,1.0000,1.0000,5821524.32
quality_aggregation,0.50,Tiny,100,2,default,0.025033,0.6862,0.3431,3994663.13
quality_aggregation,0.50,Tiny,100,2,p_cores,0.025538,0.6726,0.3363,3915802.42
quality_aggregation,0.50,Tiny,100,2,e_cores,0.048465,0.3544,0.1772,2063353.64
quality_aggregation,0.50,Tiny,100,4,default,0.044050,0.3900,0.0975,2270125.86
quality_aggregation,0.50,Tiny,100,4,p_cores,0.046112,0.3725,0.0931,2168621.14
quality_aggregation,0.50,Tiny,100,4,e_cores,0.079923,0.2149,0.0537,1251205.07
quality_aggregation,0.50,Tiny,100,8,default,0.091746,0.1872,0.0234,1089966.96
quality_aggregation,0.50,Tiny,100,8,p_cores,0.092017,0.1867,0.0233,1086760.43
quality_aggregation,0.50,Tiny,100,8,e_cores,0.155682,0.1103,0.0138,642334.80
quality_aggregation,0.50,Small,1000,1,default,0.027092,1.0000,1.0000,36911050.20
quality_aggregation,0.50,Small,1000,2,default,0.029850,0.9076,0.4538,33500893.64
quality_aggregation,0.50,Small,1000,2,p_cores,0.030590,0.8857,0.4428,32690956.05
quality_aggregation,0.50,Small,1000,2,e_cores,0.054697,0.4953,0.2477,18282397.61
quality_aggregation,0.50,Small,1000,4,default,0.047912,0.5655,0.1414,20871380.12
quality_aggregation,0.50,Small,1000,4,p_cores,0.047425,0.5713,0.1428,21085947.38
quality_aggregation,0.50,Small,1000,4,e_cores,0.090529,0.2993,0.0748,11046153.59
quality_aggregation,0.50,Small,1000,8,default,0.106673,0.2540,0.0317,9374439.00
quality_aggregation,0.50,Small,1000,8,p_cores,0.106517,0.2543,0.0318,9388203.63
quality_aggregation,0.50,Small,1000,8,e_cores,0.187302,0.1446,0.0181,5338965.59
quality_aggregation,0.50,Medium,10000,1,default,0.143963,1.0000,1.0000,69462485.40
quality_aggregation,0.50,Medium,10000,2,default,0.083602,1.7220,0.8610,119614220.22
quality_aggregation,0.50,Medium,10000,2,p_cores,0.077243,1.8638,0.9319,129460863.64
quality_aggregation,0.50,Medium,10000,2,e_cores,0.100398,1.4339,0.7170,99603627.36
quality_aggregation,0.50,Medium,10000,4,default,0.080971,1.7780,0.4445,123501235.32
quality_aggregation,0.50,Medium,10000,4,p_cores,0.077317,1.8620,0.4655,129338163.68
quality_aggregation,0.50,Medium,10000,4,e_cores,0.133617,1.0774,0.2694,74840888.27
quality_aggregation,0.50,Medium,10000,8,default,0.127148,1.1322,0.1415,78648504.11
quality_aggregation,0.50,Medium,10000,8,p_cores,0.119971,1.2000,0.1500,83353221.12
quality_aggregation,0.50,Medium,10000,8,e_cores,0.224221,0.6421,0.0803,44598885.43
quality_aggregation,0.50,Large,100000,1,default,1.522117,1.0000,1.0000,65697987.08
quality_aggregation,0.50,Large,100000,2,default,0.817333,1.8623,0.9311,122349105.40
quality_aggregation,0.50,Large,100000,2,p_cores,0.793071,1.9193,0.9596,126092147.13
quality_aggregation,0.50,Large,100000,2,e_cores,0.871871,1.7458,0.8729,114695886.44
quality_aggregation,0.50,Large,100000,4,default,0.554020,2.7474,0.6869,180498967.55
quality_aggregation,0.50,Large,100000,4,p_cores,0.541200,2.8125,0.7031,184774575.02
quality_aggregation,0.50,Large,100000,4,e_cores,0.578821,2.6297,0.6574,172765012.46
quality_aggregation,0.50,Large,100000,8,default,0.482415,3.1552,0.3944,207290575.37
quality_aggregation,0.50,Large,100000,8,p_cores,0.479540,3.1741,0.3968,208533308.09
quality_aggregation,0.50,Large,100000,8,e_cores,0.517700,2.9402,0.3675,193162044.32
quality_aggregation,0.50,VeryLarge,1000000,1,default,19.903690,1.0000,1.0000,50241941.07
quality_aggregation,0.50,VeryLarge,1000000,2,default,10.457079,1.9034,0.9517,95628996.06
quality_aggregation,0.50,VeryLarge,1000000,2,p_cores,10.493857,1.8967,0.9483,95293843.33
quality_aggregation,0.50,VeryLarge,1000000,2,e_cores,10.500808,1.8954,0.9477,95230764.28
quality_aggregation,0.50,VeryLarge,1000000,4,default,6.201673,3.2094,0.8024,161246813.25
quality_aggregation,0.50,VeryLarge,1000000,4,p_cores,6.151896,3.2354,0.8088,162551513.90
quality_aggregation,0.50,VeryLarge,1000000,4,e_cores,6.209692,3.2053,0.8013,161038589.40
quality_aggregation,0.50,VeryLarge,1000000,8,default,4.950396,4.0206,0.5026,202004049.86
quality_aggregation,0.50,VeryLarge,1000000,8,p_cores,4.913640,4.0507,0.5063,203515129.60
quality_aggregation,0.50,VeryLarge,1000000,8,e_cores,4.993729,3.9857,0.4982,200251148.98
quality_aggregation,0.50,Huge,10000000,1,default,205.150644,1.0000,1.0000,48744667.93
quality_aggregation,0.50,Huge,10000000,2,default,106.832761,1.9203,0.9601,93604245.70
quality_aggregation,0.50,Huge,10000000,2,p_cores,106.009969,1.9352,0.9676,94330751.28
quality_aggregation,0.50,Huge,10000000,2,e_cores,105.196759,1.9502,0.9751,95059963.02
quality_aggregation,0.50,Huge,10000000,4,default,60.477077,3.3922,0.8481,165351907.53
quality_aggregation,0.50,Huge,10000000,4,p_cores,61.896836,3.3144,0.8286,161559147.81
quality_aggregation,0.50,Huge,10000000,4,e_cores,61.313783,3.3459,0.8365,163095465.03
quality_aggregation,0.50,Huge,10000000,8,default,48.286085,4.2486,0.5311,207098999.57
quality_aggregation,0.50,Huge,10000000,8,p_cores,49.502358,4.1443,0.5180,202010577.34
quality_aggregation,0.50,Huge,10000000,8,e_cores,49.966011,4.1058,0.5132,200136050.29
quality_filter,0.55,Tiny,100,1,default,0.017106,1.0000,1.0000,5845833.67
quality_filter,0.55,Tiny,100,2,default,0.024390,0.7014,0.3507,4100125.05
quality_filter,0.55,Tiny,100,2,p_cores,0.019746,0.8663,0.4332,5064368.12
quality_filter,0.55,Tiny,100,2,e_cores,0.050535,0.3385,0.1692,1978812.85
quality_filter,0.55,Tiny,100,4,default,0.038321,0.4464,0.1116,2609552.27
quality_filter,0.55,Tiny,100,4,p_cores,0.041033,0.4169,0.1042,2437048.00
quality_filter,0.55,Tiny,100,4,e_cores,0.078077,0.2191,0.0548,1280790.37
quality_filter,0.55,Tiny,100,8,default,0.093804,0.1824,0.0228,1066049.21
quality_filter,0.55,Tiny,100,8,p_cores,0.099525,0.1719,0.0215,1004772.67
quality_filter,0.55,Tiny,100,8,e_cores,0.150348,0.1138,0.0142,665124.24
quality_filter,0.55,Small,1000,1,default,0.024621,1.0000,1.0000,40616342.31
quality_filter,0.55,Small,1000,2,default,0.026985,0.9124,0.4562,37057212.63
quality_filter,0.55,Small,1000,2,p_cores,0.022923,1.0741,0.5370,43624497.77
quality_filter,0.55,Small,1000,2,e_cores,0.059542,0.4135,0.2068,16794980.32
quality_filter,0.55,Small,1000,4,default,0.045676,0.5390,0.1348,21893562.72
quality_filter,0.55,Small,1000,4,p_cores,0.047746,0.5157,0.1289,20944250.59
quality_filter,0.55,Small,1000,4,e_cores,0.083569,0.2946,0.0737,11966195.50
quality_filter,0.55,Small,1000,8,default,0.117873,0.2089,0.0261,8483703.44
quality_filter,0.55,Small,1000,8,p_cores,0.100277,0.2455,0.0307,9972366.57
quality_filter,0.55,Small,1000,8,e_cores,0.179067,0.1375,0.0172,5584509.69
quality_filter,0.55,Medium,10000,1,default,0.104835,1.0000,1.0000,95387626.70
quality_filter,0.55,Medium,10000,2,default,0.060112,1.7440,0.8720,166355166.62
quality_filter,0.55,Medium,10000,2,p_cores,0.058046,1.8061,0.9030,172277456.29
quality_filter,0.55,Medium,10000,2,e_cores,0.093185,1.1250,0.5625,107312833.01
quality_filter,0.55,Medium,10000,4,default,0.068431,1.5320,0.3830,146132066.86
quality_filter,0.55,Medium,10000,4,p_cores,0.067480,1.5536,0.3884,148191363.41
quality_filter,0.55,Medium,10000,4,e_cores,0.110931,0.9450,0.2363,90145964.35
quality_filter,0.55,Medium,10000,8,default,0.118279,0.8863,0.1108,84545754.68
quality_filter,0.55,Medium,10000,8,p_cores,0.118781,0.8826,0.1103,84188336.04
quality_filter,0.55,Medium,10000,8,e_cores,0.209806,0.4997,0.0625,47663011.07
quality_filter,0.55,Large,100000,1,default,1.198965,1.0000,1.0000,83405281.36
quality_filter,0.55,Large,100000,2,default,0.623196,1.9239,0.9619,160463212.36
quality_filter,0.55,Large,100000,2,p_cores,0.621737,1.9284,0.9642,160839595.56
quality_filter,0.55,Large,100000,2,e_cores,0.682752,1.7561,0.8780,146466055.45
quality_filter,0.55,Large,100000,4,default,0.521360,2.2997,0.5749,191805861.78
quality_filter,0.55,Large,100000,4,p_cores,0.513431,2.3352,0.5838,194768024.47
quality_filter,0.55,Large,100000,4,e_cores,0.574160,2.0882,0.5221,174167495.41
quality_filter,0.55,Large,100000,8,default,0.483838,2.4780,0.3098,206680962.10
quality_filter,0.55,Large,100000,8,p_cores,0.530979,2.2580,0.2823,188331258.86
quality_filter,0.55,Large,100000,8,e_cores,0.497195,2.4115,0.3014,201128287.35
quality_filter,0.55,VeryLarge,1000000,1,default,16.147136,1.0000,1.0000,61930487.04
quality_filter,0.55,VeryLarge,1000000,2,default,8.586900,1.8804,0.9402,116456462.75
quality_filter,0.55,VeryLarge,1000000,2,p_cores,8.579602,1.8820,0.9410,116555522.53
quality_filter,0.55,VeryLarge,1000000,2,e_cores,8.578465,1.8823,0.9411,116570973.76
quality_filter,0.55,VeryLarge,1000000,4,default,5.634206,2.8659,0.7165,177487290.25
quality_filter,0.55,VeryLarge,1000000,4,p_cores,5.628649,2.8687,0.7172,177662521.14
quality_filter,0.55,VeryLarge,1000000,4,e_cores,5.692414,2.8366,0.7092,175672382.53
quality_filter,0.55,VeryLarge,1000000,8,default,4.383421,3.6837,0.4605,228132319.48
quality_filter,0.55,VeryLarge,1000000,8,p_cores,4.298950,3.7561,0.4695,232614938.15
quality_filter,0.55,VeryLarge,1000000,8,e_cores,4.369331,3.6956,0.4619,228867976.08
quality_filter,0.55,Huge,10000000,1,default,168.689309,1.0000,1.0000,59280579.49
quality_filter,0.55,Huge,10000000,2,default,85.972371,1.9621,0.9811,116316438.72
quality_filter,0.55,Huge,10000000,2,p_cores,85.849807,1.9649,0.9825,116482498.18
quality_filter,0.55,Huge,10000000,2,e_cores,87.769746,1.9220,0.9610,113934475.98
quality_filter,0.55,Huge,10000000,4,default,56.418116,2.9900,0.7475,177248031.13
quality_filter,0.55,Huge,10000000,4,p_cores,56.686442,2.9758,0.7440,176409026.26
quality_filter,0.55,Huge,10000000,4,e_cores,56.093700,3.0073,0.7518,178273140.91
quality_filter,0.55,Huge,10000000,8,default,41.488985,4.0659,0.5082,241027831.27
quality_filter,0.55,Huge,10000000,8,p_cores,42.746223,3.9463,0.4933,233938798.17
quality_filter,0.55,Huge,10000000,8,e_cores,42.087783,4.0080,0.5010,237598638.84
length_filter,0.55,Tiny,100,1,default,0.017314,1.0000,1.0000,5775539.44
length_filter,0.55,Tiny,100,2,default,0.022583,0.7667,0.3833,4428041.01
length_filter,0.55,Tiny,100,2,p_cores,0.021402,0.8090,0.4045,4672416.85
length_filter,0.55,Tiny,100,2,e_cores,0.045677,0.3791,0.1895,2189280.84
length_filter,0.55,Tiny,100,4,default,0.038587,0.4487,0.1122,2591512.80
length_filter,0.55,Tiny,100,4,p_cores,0.037065,0.4671,0.1168,2697999.43
length_filter,0.55,Tiny,100,4,e_cores,0.070542,0.2454,0.0614,1417602.23
length_filter,0.55,Tiny,100,8,default,0.085917,0.2015,0.0252,1163916.72
length_filter,0.55,Tiny,100,8,p_cores,0.082969,0.2087,0.0261,1205265.62
length_filter,0.55,Tiny,100,8,e_cores,0.145908,0.1187,0.0148,685361.50
length_filter,0.55,Small,1000,1,default,0.015039,1.0000,1.0000,66491688.54
length_filter,0.55,Small,1000,2,default,0.023742,0.6335,0.3167,42119894.28
length_filter,0.55,Small,1000,2,p_cores,0.023421,0.6421,0.3211,42697089.77
length_filter,0.55,Small,1000,2,e_cores,0.049738,0.3024,0.1512,20105453.10
length_filter,0.55,Small,1000,4,default,0.039017,0.3855,0.0964,25630083.57
length_filter,0.55,Small,1000,4,p_cores,0.038779,0.3878,0.0970,25787019.85
length_filter,0.55,Small,1000,4,e_cores,0.061103,0.2461,0.0615,16365780.36
length_filter,0.55,Small,1000,8,default,0.090284,0.1666,0.0208,11076214.88
length_filter,0.55,Small,1000,8,p_cores,0.097700,0.1539,0.0192,10235409.30
length_filter,0.55,Small,1000,8,e_cores,0.151131,0.0995,0.0124,6616765.23
length_filter,0.55,Medium,10000,1,default,0.018873,1.0000,1.0000,529860275.85
length_filter,0.55,Medium,10000,2,default,0.021581,0.8745,0.4373,463367336.77
length_filter,0.55,Medium,10000,2,p_cores,0.022025,0.8569,0.4284,454028481.21
length_filter,0.55,Medium,10000,2,e_cores,0.051605,0.3657,0.1829,193778881.98
length_filter,0.55,Medium,10000,4,default,0.043143,0.4375,0.1094,231789574.10
length_filter,0.55,Medium,10000,4,p_cores,0.046053,0.4098,0.1025,217142857.14
length_filter,0.55,Medium,10000,4,e_cores,0.083498,0.2260,0.0565,119763562.77
length_filter,0.55,Medium,10000,8,default,0.113590,0.1661,0.0208,88036267.42
length_filter,0.55,Medium,10000,8,p_cores,0.108002,0.1747,0.0218,92590835.08
length_filter,0.55,Medium,10000,8,e_cores,0.181936,0.1037,0.0130,54964239.98
length_filter,0.55,Large,100000,1,default,0.071818,1.0000,1.0000,1392409608.80
length_filter,0.55,Large,100000,2,default,0.051611,1.3915,0.6958,1937588341.92
length_filter,0.55,Large,100000,2,p_cores,0.054717,1.3125,0.6563,1827600607.13
length_filter,0.55,Large,100000,2,e_cores,0.083660,0.8584,0.4292,1195312863.71
length_filter,0.55,Large,100000,4,default,0.061085,1.1757,0.2939,1637052388.95
length_filter,0.55,Large,100000,4,p_cores,0.059492,1.2072,0.3018,1680909573.79
length_filter,0.55,Large,100000,4,e_cores,0.105675,0.6796,0.1699,946293368.87
length_filter,0.55,Large,100000,8,default,0.143104,0.5019,0.0627,698791021.65
length_filter,0.55,Large,100000,8,p_cores,0.122252,0.5875,0.0734,817981858.80
length_filter,0.55,Large,100000,8,e_cores,0.205921,0.3488,0.0436,485622754.95
length_filter,0.55,VeryLarge,1000000,1,default,1.047813,1.0000,1.0000,954368334.74
length_filter,0.55,VeryLarge,1000000,2,default,1.031848,1.0155,0.5077,969135129.76
length_filter,0.55,VeryLarge,1000000,2,p_cores,1.033198,1.0141,0.5071,967868835.58
length_filter,0.55,VeryLarge,1000000,2,e_cores,1.104102,0.9490,0.4745,905713339.37
length_filter,0.55,VeryLarge,1000000,4,default,0.970273,1.0799,0.2700,1030637928.29
length_filter,0.55,VeryLarge,1000000,4,p_cores,0.928910,1.1280,0.2820,1076530209.64
length_filter,0.55,VeryLarge,1000000,4,e_cores,1.114931,0.9398,0.2350,896916289.68
length_filter,0.55,VeryLarge,1000000,8,default,0.728902,1.4375,0.1797,1371926353.35
length_filter,0.55,VeryLarge,1000000,8,p_cores,0.730975,1.4334,0.1792,1368035842.54
length_filter,0.55,VeryLarge,1000000,8,e_cores,0.786256,1.3327,0.1666,1271850147.05
length_filter,0.55,Huge,10000000,1,default,10.109633,1.0000,1.0000,989155561.16
length_filter,0.55,Huge,10000000,2,default,10.221358,0.9891,0.4945,978343553.42
length_filter,0.55,Huge,10000000,2,p_cores,11.071567,0.9131,0.4566,903214537.83
length_filter,0.55,Huge,10000000,2,e_cores,10.371042,0.9748,0.4874,964223285.65
length_filter,0.55,Huge,10000000,4,default,9.294306,1.0877,0.2719,1075927550.96
length_filter,0.55,Huge,10000000,4,p_cores,9.764565,1.0353,0.2588,1024111187.34
length_filter,0.55,Huge,10000000,4,e_cores,9.860487,1.0253,0.2563,1014148725.13
length_filter,0.55,Huge,10000000,8,default,7.025617,1.4390,0.1799,1423362592.50
length_filter,0.55,Huge,10000000,8,p_cores,7.336522,1.3780,0.1722,1363043707.02
length_filter,0.55,Huge,10000000,8,e_cores,6.816744,1.4831,0.1854,1466976076.37
complexity_score,0.61,Tiny,100,1,default,0.036623,1.0000,1.0000,2730528.26
complexity_score,0.61,Tiny,100,2,default,0.034931,1.0484,0.5242,2862762.05
complexity_score,0.61,Tiny,100,2,p_cores,0.033840,1.0823,0.5411,2955122.04
complexity_score,0.61,Tiny,100,2,e_cores,0.063063,0.5807,0.2904,1585728.44
complexity_score,0.61,Tiny,100,4,default,0.048883,0.7492,0.1873,2045688.40
complexity_score,0.61,Tiny,100,4,p_cores,0.049429,0.7409,0.1852,2023101.80
complexity_score,0.61,Tiny,100,4,e_cores,0.088991,0.4115,0.1029,1123708.47
complexity_score,0.61,Tiny,100,8,default,0.100529,0.3643,0.0455,994736.85
complexity_score,0.61,Tiny,100,8,p_cores,0.111175,0.3294,0.0412,899483.61
complexity_score,0.61,Tiny,100,8,e_cores,0.153967,0.2379,0.0297,649490.67
complexity_score,0.61,Small,1000,1,default,0.203725,1.0000,1.0000,4908581.35
complexity_score,0.61,Small,1000,2,default,0.114125,1.7851,0.8926,8762318.18
complexity_score,0.61,Small,1000,2,p_cores,0.115235,1.7679,0.8840,8677888.91
complexity_score,0.61,Small,1000,2,e_cores,0.153148,1.3302,0.6651,6529637.86
complexity_score,0.61,Small,1000,4,default,0.103004,1.9778,0.4945,9708346.70
complexity_score,0.61,Small,1000,4,p_cores,0.101692,2.0034,0.5008,9833629.74
complexity_score,0.61,Small,1000,4,e_cores,0.133569,1.5252,0.3813,7486775.55
complexity_score,0.61,Small,1000,8,default,0.146648,1.3892,0.1737,6819056.67
complexity_score,0.61,Small,1000,8,p_cores,0.126059,1.6161,0.2020,7932776.81
complexity_score,0.61,Small,1000,8,e_cores,0.228702,0.8908,0.1113,4372503.16
complexity_score,0.61,Medium,10000,1,default,1.902271,1.0000,1.0000,5256874.82
complexity_score,0.61,Medium,10000,2,default,0.972270,1.9565,0.9783,10285212.18
complexity_score,0.61,Medium,10000,2,p_cores,0.963383,1.9746,0.9873,10380084.98
complexity_score,0.61,Medium,10000,2,e_cores,1.034673,1.8385,0.9193,9664889.76
complexity_score,0.61,Medium,10000,4,default,0.533719,3.5642,0.8910,18736459.98
complexity_score,0.61,Medium,10000,4,p_cores,0.534833,3.5568,0.8892,18697412.94
complexity_score,0.61,Medium,10000,4,e_cores,0.563710,3.3746,0.8436,17739602.98
complexity_score,0.61,Medium,10000,8,default,0.424683,4.4793,0.5599,23546958.40
complexity_score,0.61,Medium,10000,8,p_cores,0.413079,4.6051,0.5756,24208435.60
complexity_score,0.61,Medium,10000,8,e_cores,0.451752,4.2109,0.5264,22136029.44
complexity_score,0.61,Large,100000,1,default,18.600129,1.0000,1.0000,5376306.76
complexity_score,0.61,Large,100000,2,default,9.447612,1.9688,0.9844,10584684.76
complexity_score,0.61,Large,100000,2,p_cores,9.445175,1.9693,0.9846,10587416.10
complexity_score,0.61,Large,100000,2,e_cores,9.530103,1.9517,0.9759,10493066.02
complexity_score,0.61,Large,100000,4,default,4.830671,3.8504,0.9626,20701057.21
complexity_score,0.61,Large,100000,4,p_cores,4.860917,3.8265,0.9566,20572251.32
complexity_score,0.61,Large,100000,4,e_cores,4.906783,3.7907,0.9477,20379950.14
complexity_score,0.61,Large,100000,8,default,3.210583,5.7934,0.7242,31146987.49
complexity_score,0.61,Large,100000,8,p_cores,3.241058,5.7389,0.7174,30854120.42
complexity_score,0.61,Large,100000,8,e_cores,3.176148,5.8562,0.7320,31484678.93
complexity_score,0.61,VeryLarge,1000000,1,default,188.115614,1.0000,1.0000,5315879.84
complexity_score,0.61,VeryLarge,1000000,2,default,95.178298,1.9765,0.9882,10506596.75
complexity_score,0.61,VeryLarge,1000000,2,p_cores,94.821502,1.9839,0.9919,10546131.19
complexity_score,0.61,VeryLarge,1000000,2,e_cores,95.082831,1.9784,0.9892,10517145.81
complexity_score,0.61,VeryLarge,1000000,4,default,48.224502,3.9008,0.9752,20736346.80
complexity_score,0.61,VeryLarge,1000000,4,p_cores,49.603698,3.7924,0.9481,20159787.47
complexity_score,0.61,VeryLarge,1000000,4,e_cores,52.412456,3.5891,0.8973,19079434.04
complexity_score,0.61,VeryLarge,1000000,8,default,31.870292,5.9025,0.7378,31377183.70
complexity_score,0.61,VeryLarge,1000000,8,p_cores,31.007691,6.0667,0.7583,32250063.54
complexity_score,0.61,VeryLarge,1000000,8,e_cores,30.858993,6.0960,0.7620,32405463.99
complexity_score,0.61,Huge,10000000,1,default,1876.692183,1.0000,1.0000,5328524.35
complexity_score,0.61,Huge,10000000,2,default,950.815298,1.9738,0.9869,10517289.76
complexity_score,0.61,Huge,10000000,2,p_cores,949.923377,1.9756,0.9878,10527164.87
complexity_score,0.61,Huge,10000000,2,e_cores,950.988675,1.9734,0.9867,10515372.33
complexity_score,0.61,Huge,10000000,4,default,487.158314,3.8523,0.9631,20527207.90
complexity_score,0.61,Huge,10000000,4,p_cores,505.007474,3.7162,0.9290,19801687.14
complexity_score,0.61,Huge,10000000,4,e_cores,512.811226,3.6596,0.9149,19500353.14
complexity_score,0.61,Huge,10000000,8,default,327.481437,5.7307,0.7163,30536081.92
complexity_score,0.61,Huge,10000000,8,p_cores,331.607956,5.6594,0.7074,30156091.89
complexity_score,0.61,Huge,10000000,8,e_cores,329.438568,5.6966,0.7121,30354673.01
